Distance_(pixels),Gray_Value
0.00000000,15.000
0.00000650,2.652
0.00001300,5.458
0.00001950,13.480
0.00002600,2.799
0.00003250,10.912
0.00003900,4.803
0.00004550,11.269
0.00005200,16.399
0.00005850,10.057
0.00006500,5.891
0.00007150,9.000
0.00007800,16.573
0.00008450,10.428
0.00009100,10.048
0.00009750,10.525
0.00010400,18.466
0.00011050,12.448
0.00011700,7.210
0.00012350,4.230
0.00013000,12.789
0.00013650,31.058
0.00014300,29.549
0.00014950,49.289
0.00015600,61.616
0.00016250,73.040
0.00016900,57.373
0.00017550,60.566
0.00018200,75.086
0.00018850,89.423
0.00019500,124.488
0.00020150,117.193
0.00020800,78.722
0.00021450,64.984
0.00022100,59.635
0.00022750,59.107
0.00023400,65.249
0.00024050,67.131
0.00024700,43.827
0.00025350,38.868
0.00026000,39.918
0.00026650,31.476
0.00027300,24.234
0.00027950,27.104
0.00028600,27.584
0.00029250,29.723
0.00029900,29.554
0.00030550,33.556
0.00031200,55.115
0.00031850,57.353
0.00032500,70.040
0.00033150,85.125
0.00033800,101.160
0.00034450,97.198
0.00035100,88.063
0.00035750,75.750
0.00036400,59.837
0.00037050,47.836
0.00037700,53.160
0.00038350,60.834
0.00039000,60.611
0.00039650,42.236
0.00040300,28.288
0.00040950,37.299
0.00041600,54.117
0.00042250,85.091
0.00042900,113.807
0.00043550,137.242
0.00044200,167.860
0.00044850,184.084
0.00045500,170.894
0.00046150,145.844
0.00046800,136.270
0.00047450,139.146
0.00048100,163.879
0.00048750,188.040
0.00049400,179.979
0.00050050,149.736
0.00050700,122.687
0.00051350,152.185
0.00052000,174.181
0.00052650,169.759
0.00053300,160.094
0.00053950,177.355
0.00054600,144.058
0.00055250,123.331
0.00055900,135.139
0.00056550,123.600
0.00057200,121.019
0.00057850,109.214
0.00058500,90.706
0.00059150,69.774
0.00059800,57.463
0.00060450,68.673
0.00061100,87.591
0.00061750,86.467
0.00062400,93.767
0.00063050,95.768
0.00063700,79.205
0.00064350,71.279
0.00065000,54.160
0.00065650,56.467
0.00066300,47.398
0.00066950,47.548
0.00067600,27.875
0.00068250,32.389
0.00068900,34.328
0.00069550,57.004
0.00070200,41.624
0.00070850,40.809
0.00071500,61.205
0.00072150,68.000
0.00072800,76.235
0.00073450,81.190
0.00074100,84.177
0.00074750,145.398
0.00075400,159.054
0.00076050,192.143
0.00076700,161.560
0.00077350,139.536
0.00078000,118.357
0.00078650,72.805
0.00079300,45.767
0.00079950,48.652
0.00080600,21.611
0.00081250,18.000
0.00081900,19.954
0.00082550,27.170
0.00083200,12.457
0.00083850,28.304
0.00084500,11.894
0.00085150,27.596
0.00085800,21.828
0.00086450,19.022
0.00087100,29.045
0.00087750,28.285
0.00088400,42.259
0.00089050,25.499
0.00089700,33.226
0.00090350,36.976
0.00091000,42.162
0.00091650,26.249
0.00092300,39.647
0.00092950,43.335
0.00093600,48.103
0.00094250,44.315
0.00094900,49.001
0.00095550,76.797
0.00096200,91.190
0.00096850,118.269
0.00097500,95.120
0.00098150,127.993
0.00098800,98.020
0.00099450,81.725
0.00100100,87.317
0.00100750,126.318
0.00101400,152.482
0.00102050,197.270
0.00102700,242.871
0.00103350,205.179
0.00104000,153.838
0.00104650,116.891
0.00105300,80.172
0.00105950,63.980
0.00106600,72.341
0.00107250,106.630
0.00107900,151.268
0.00108550,161.195
0.00109200,160.806
0.00109850,145.215
0.00110500,112.074
0.00111150,84.784
0.00111800,80.876
0.00112450,71.493
0.00113100,77.865
0.00113750,90.240
0.00114400,92.994
0.00115050,82.257
0.00115700,77.502
0.00116350,88.612
0.00117000,74.219
0.00117650,69.578
0.00118300,61.249
0.00118950,48.977
0.00119600,50.741
0.00120250,53.970
0.00120900,62.319
0.00121550,74.839
0.00122200,80.927
0.00122850,94.864
0.00123500,102.157
0.00124150,96.950
0.00124800,76.068
0.00125450,47.478
0.00126100,33.456
0.00126750,31.091
0.00127400,30.696
0.00128050,19.998
0.00128700,13.260
0.00129350,2.485
0.00130000,10.880
0.00130650,22.866
0.00131300,26.888
0.00131950,30.136
0.00132600,29.105
0.00133250,25.374
0.00133900,42.974
0.00134550,59.888
0.00135200,60.254
0.00135850,64.188
0.00136500,52.955
0.00137150,39.034
0.00137800,46.368
0.00138450,46.315
0.00139100,57.204
0.00139750,72.304
0.00140400,80.923
0.00141050,75.690
0.00141700,72.195
0.00142350,58.416
0.00143000,65.318
0.00143650,64.603
0.00144300,41.934
0.00144950,39.176
0.00145600,44.763
0.00146250,36.440
0.00146900,40.523
0.00147550,42.632
0.00148200,26.109
0.00148850,43.996
0.00149500,43.986
0.00150150,57.130
0.00150800,64.475
0.00151450,66.376
0.00152100,60.554
0.00152750,55.174
0.00153400,37.620
0.00154050,27.837
0.00154700,20.731
0.00155350,24.267
0.00156000,27.040
0.00156650,29.117
0.00157300,28.777
0.00157950,46.992
0.00158600,48.765
0.00159250,46.557
0.00159900,40.749
0.00160550,29.455
0.00161200,4.815
0.00161850,0.938
0.00162500,5.000
0.00163150,1.940
0.00163800,11.137
0.00164450,11.462
0.00165100,3.324
0.00165750,16.282
0.00166400,31.904
0.00167050,45.162
0.00167700,51.878
0.00168350,52.651
0.00169000,51.763
0.00169650,38.453
0.00170300,26.362
0.00170950,21.693
0.00171600,4.339
0.00172250,5.430
0.00172900,6.795
0.00173550,22.639
0.00174200,14.047
0.00174850,14.493
0.00175500,7.661
0.00176150,7.730
0.00176800,10.598
0.00177450,17.096
0.00178100,7.210
0.00178750,1.960
0.00179400,12.113
0.00180050,4.361
0.00180700,2.545
0.00181350,10.122
0.00182000,6.163
0.00182650,26.294
0.00183300,34.205
0.00183950,39.497
0.00184600,52.044
0.00185250,47.184
0.00185900,36.308
0.00186550,19.673
0.00187200,14.660
0.00187850,20.769
0.00188500,14.843
0.00189150,9.293
0.00189800,8.084
0.00190450,6.826
0.00191100,5.206
0.00191750,17.128
0.00192400,23.991
0.00193050,15.364
0.00193700,11.024
0.00194350,16.702
0.00195000,16.760
0.00195650,18.235
0.00196300,15.153
0.00196950,11.385
0.00197600,12.166
0.00198250,18.835
0.00198900,22.039
0.00199550,21.544
0.00200200,23.246
0.00200850,26.400
0.00201500,27.882
0.00202150,16.299
0.00202800,8.441
0.00203450,12.651
0.00204100,19.581
0.00204750,18.693
0.00205400,21.227
0.00206050,32.150
0.00206700,32.442
0.00207350,24.341
0.00208000,25.205
0.00208650,30.150
0.00209300,39.687
0.00209950,48.750
0.00210600,65.593
0.00211250,97.600
0.00211900,110.817
0.00212550,103.496
0.00213200,105.200
0.00213850,95.244
0.00214500,81.086
0.00215150,74.727
0.00215800,65.282
0.00216450,42.785
0.00217100,26.396
0.00217750,13.896
0.00218400,16.974
0.00219050,17.524
0.00219700,17.542
0.00220350,31.924
0.00221000,41.379
0.00221650,33.736
0.00222300,29.628
0.00222950,19.490
0.00223600,26.209
0.00224250,22.336
0.00224900,13.611
0.00225550,15.474
0.00226200,9.741
0.00226850,11.344
0.00227500,17.720
0.00228150,17.954
0.00228800,11.696
0.00229450,11.123
0.00230100,5.708
0.00230750,5.230
0.00231400,1.794
0.00232050,2.704
0.00232700,10.191
0.00233350,2.050
0.00234000,5.110
0.00234650,12.107
0.00235300,7.175
0.00235950,0.754
0.00236600,7.739
0.00237250,1.048
0.00237900,4.006
0.00238550,7.682
0.00239200,4.049
0.00239850,4.383
0.00240500,4.392
0.00241150,5.112
0.00241800,4.377
0.00242450,0.943
0.00243100,12.346
0.00243750,12.000
