Distance_(pixels),Gray_Value
0.00000000,11.000
0.00000650,0.167
0.00001300,17.821
0.00001950,20.692
0.00002600,11.462
0.00003250,22.218
0.00003900,24.615
0.00004550,32.897
0.00005200,55.205
0.00005850,67.846
0.00006500,149.897
0.00007150,265.603
0.00007800,347.000
0.00008450,453.833
0.00009100,426.769
0.00009750,489.538
0.00010400,386.000
0.00011050,360.282
0.00011700,294.846
0.00012350,265.936
0.00013000,208.641
0.00013650,206.962
0.00014300,116.949
0.00014950,92.179
0.00015600,84.615
0.00016250,69.564
0.00016900,48.667
0.00017550,52.654
0.00018200,47.744
0.00018850,42.397
0.00019500,39.462
0.00020150,34.064
0.00020800,31.410
0.00021450,35.269
0.00022100,22.667
0.00022750,12.269
0.00023400,20.692
0.00024050,26.154
0.00024700,19.513
0.00025350,15.000
0.00026000,21.462
0.00026650,5.051
0.00027300,13.923
0.00027950,5.308
0.00028600,20.564
0.00029250,5.846
0.00029900,7.077
0.00030550,5.423
0.00031200,5.769
0.00031850,19.910
0.00032500,19.179
0.00033150,8.308
0.00033800,8.667
0.00034450,6.603
0.00035100,11.615
0.00035750,13.821
0.00036400,7.051
0.00037050,9.038
0.00037700,23.872
0.00038350,20.756
0.00039000,20.000
0.00039650,12.923
0.00040300,10.179
0.00040950,5.731
0.00041600,20.974
0.00042250,12.667
0.00042900,1.692
0.00043550,12.295
0.00044200,9.872
0.00044850,2.231
0.00045500,7.179
0.00046150,26.577
0.00046800,10.154
0.00047450,13.103
0.00048100,17.692
0.00048750,0.231
0.00049400,29.718
0.00050050,14.282
0.00050700,51.000
0.00051350,66.487
0.00052000,53.410
0.00052650,55.154
0.00053300,82.359
0.00053950,92.051
0.00054600,109.308
0.00055250,121.808
0.00055900,132.410
0.00056550,137.385
0.00057200,204.385
0.00057850,238.538
0.00058500,268.923
0.00059150,271.500
0.00059800,284.308
0.00060450,253.423
0.00061100,225.462
0.00061750,231.077
0.00062400,193.154
0.00063050,195.436
0.00063700,189.103
0.00064350,178.962
0.00065000,168.051
0.00065650,184.244
0.00066300,196.154
0.00066950,148.269
0.00067600,163.667
0.00068250,166.731
0.00068900,154.974
0.00069550,189.897
0.00070200,142.846
0.00070850,139.487
0.00071500,169.385
0.00072150,158.692
0.00072800,189.513
0.00073450,235.923
0.00074100,273.154
0.00074750,183.449
0.00075400,201.051
0.00076050,189.500
0.00076700,169.026
0.00077350,155.256
0.00078000,161.308
0.00078650,165.513
0.00079300,152.000
0.00079950,176.846
0.00080600,114.231
0.00081250,156.141
0.00081900,107.462
0.00082550,140.115
0.00083200,144.590
0.00083850,135.500
0.00084500,148.333
0.00085150,161.321
0.00085800,169.000
0.00086450,154.551
0.00087100,134.513
0.00087750,127.769
0.00088400,127.154
0.00089050,146.705
0.00089700,164.308
0.00090350,181.474
0.00091000,212.821
0.00091650,188.115
0.00092300,112.128
0.00092950,161.000
0.00093600,199.769
0.00094250,178.731
0.00094900,203.923
0.00095550,180.885
0.00096200,177.615
0.00096850,185.282
0.00097500,168.077
0.00098150,122.372
0.00098800,91.359
0.00099450,91.346
0.00100100,82.615
0.00100750,70.231
0.00101400,43.000
0.00102050,81.500
0.00102700,63.718
0.00103350,45.423
0.00104000,18.154
0.00104650,28.962
0.00105300,41.769
0.00105950,45.987
0.00106600,62.821
0.00107250,60.154
0.00107900,58.923
0.00108550,60.000
0.00109200,53.231
0.00109850,39.500
0.00110500,62.795
0.00111150,59.462
0.00111800,75.744
0.00112450,58.808
0.00113100,62.769
0.00113750,33.282
0.00114400,30.256
0.00115050,31.462
0.00115700,73.462
0.00116350,59.744
0.00117000,53.923
0.00117650,19.205
0.00118300,28.333
0.00118950,28.462
0.00119600,23.103
0.00120250,42.859
0.00120900,23.154
0.00121550,47.590
0.00122200,36.615
0.00122850,31.538
0.00123500,14.256
0.00124150,25.359
0.00124800,31.000
0.00125450,21.103
0.00126100,49.872
0.00126750,57.000
0.00127400,48.744
0.00128050,55.718
0.00128700,66.308
0.00129350,42.474
0.00130000,68.000
0.00130650,86.038
0.00131300,59.949
0.00131950,67.500
0.00132600,77.538
0.00133250,61.026
0.00133900,63.103
0.00134550,69.385
0.00135200,46.667
0.00135850,66.051
0.00136500,41.077
0.00137150,48.962
0.00137800,36.769
0.00138450,18.654
0.00139100,24.333
0.00139750,54.154
0.00140400,26.231
0.00141050,41.949
0.00141700,48.179
0.00142350,48.808
0.00143000,49.487
0.00143650,70.500
0.00144300,66.385
0.00144950,76.538
0.00145600,103.897
0.00146250,182.769
0.00146900,153.154
0.00147550,249.615
0.00148200,217.000
0.00148850,186.372
0.00149500,183.590
0.00150150,147.346
0.00150800,67.846
0.00151450,50.090
0.00152100,36.000
