Distance_(pixels),Gray_Value
0.00000000,60.000
0.00000650,78.046
0.00001300,80.245
0.00001950,82.881
0.00002600,112.816
0.00003250,170.276
0.00003900,198.571
0.00004550,231.705
0.00005200,270.061
0.00005850,343.469
0.00006500,416.959
0.00007150,478.026
0.00007800,417.367
0.00008450,399.578
0.00009100,352.857
0.00009750,308.639
0.00010400,228.020
0.00011050,205.594
0.00011700,215.520
0.00012350,187.136
0.00013000,153.959
0.00013650,127.357
0.00014300,142.526
0.00014950,130.997
0.00015600,142.837
0.00016250,123.554
0.00016900,125.551
0.00017550,123.992
0.00018200,115.000
0.00018850,111.079
0.00019500,112.209
0.00020150,89.115
0.00020800,66.224
0.00021450,90.335
0.00022100,92.653
0.00022750,107.259
0.00023400,114.633
0.00024050,102.430
0.00024700,116.980
0.00025350,101.596
0.00026000,84.163
0.00026650,77.264
0.00027300,86.643
0.00027950,75.625
0.00028600,93.327
0.00029250,76.807
0.00029900,70.153
0.00030550,71.264
0.00031200,89.959
0.00031850,104.125
0.00032500,97.041
0.00033150,79.744
0.00033800,86.327
0.00034450,91.278
0.00035100,101.260
0.00035750,105.705
0.00036400,79.429
0.00037050,67.930
0.00037700,70.648
0.00038350,77.147
0.00039000,89.449
0.00039650,88.561
0.00040300,98.561
0.00040950,91.705
0.00041600,96.347
0.00042250,105.523
0.00042900,87.485
0.00043550,73.083
0.00044200,75.429
0.00044850,83.881
0.00045500,71.071
0.00046150,73.168
0.00046800,66.878
0.00047450,68.971
0.00048100,80.974
0.00048750,96.486
0.00049400,93.857
0.00050050,101.759
0.00050700,107.418
0.00051350,94.588
0.00052000,81.367
0.00052650,67.765
0.00053300,68.724
0.00053950,58.634
0.00054600,48.000
0.00055250,43.955
0.00055900,39.260
0.00056550,32.015
0.00057200,16.143
0.00057850,25.823
0.00058500,18.827
0.00059150,21.411
0.00059800,20.531
0.00060450,29.878
0.00061100,30.097
0.00061750,21.450
0.00062400,21.163
0.00063050,18.531
0.00063700,14.500
0.00064350,10.954
0.00065000,18.163
0.00065650,37.923
0.00066300,24.372
0.00066950,22.745
0.00067600,45.163
0.00068250,65.964
0.00068900,70.888
0.00069550,79.497
0.00070200,92.673
0.00070850,82.602
0.00071500,84.423
0.00072150,78.239
0.00072800,75.143
0.00073450,91.726
0.00074100,87.755
0.00074750,89.612
0.00075400,71.265
0.00076050,96.370
0.00076700,80.332
0.00077350,78.134
0.00078000,84.245
0.00078650,97.265
0.00079300,98.699
0.00079950,102.254
0.00080600,107.898
0.00081250,142.036
0.00081900,111.500
0.00082550,126.159
0.00083200,121.755
0.00083850,110.046
0.00084500,120.082
0.00085150,136.767
0.00085800,142.204
0.00086450,134.321
0.00087100,145.291
0.00087750,143.497
0.00088400,154.429
0.00089050,157.371
0.00089700,142.240
0.00090350,127.023
0.00091000,114.429
0.00091650,82.347
0.00092300,75.974
0.00092950,84.770
0.00093600,74.898
0.00094250,66.462
0.00094900,73.321
0.00095550,68.688
0.00096200,58.020
0.00096850,68.903
0.00097500,71.276
0.00098150,70.157
0.00098800,33.816
0.00099450,66.736
0.00100100,70.500
0.00100750,85.023
0.00101400,76.061
0.00102050,111.902
0.00102700,120.464
0.00103350,107.214
0.00104000,135.224
0.00104650,134.027
0.00105300,143.393
0.00105950,139.446
0.00106600,171.367
0.00107250,152.281
0.00107900,139.811
0.00108550,156.657
0.00109200,168.000
0.00109850,175.906
0.00110500,201.679
0.00111150,239.529
0.00111800,267.694
0.00112450,236.955
0.00113100,229.005
0.00113750,239.920
0.00114400,247.347
0.00115050,290.496
0.00115700,296.561
0.00116350,280.487
0.00117000,311.224
0.00117650,318.301
0.00118300,310.286
0.00118950,330.209
0.00119600,356.224
0.00120250,348.097
0.00120900,341.133
0.00121550,353.686
0.00122200,290.633
0.00122850,252.259
0.00123500,200.821
0.00124150,179.101
0.00124800,143.633
0.00125450,115.645
0.00126100,101.531
0.00126750,80.106
0.00127400,112.000
