Distance_(pixels),Gray_Value
0.00000000,9.000
0.00000650,9.557
0.00001300,3.486
0.00001950,7.972
0.00002600,3.203
0.00003250,0.895
0.00003900,0.019
0.00004550,1.611
0.00005200,1.166
0.00005850,18.486
0.00006500,20.243
0.00007150,28.639
0.00007800,34.137
0.00008450,33.823
0.00009100,50.841
0.00009750,49.463
0.00010400,50.374
0.00011050,71.210
0.00011700,89.765
0.00012350,94.420
0.00013000,100.340
0.00013650,108.509
0.00014300,92.230
0.00014950,73.040
0.00015600,76.625
0.00016250,52.039
0.00016900,29.621
0.00017550,42.961
0.00018200,52.275
0.00018850,54.398
0.00019500,70.349
0.00020150,70.453
0.00020800,60.332
0.00021450,46.741
0.00022100,38.135
0.00022750,39.937
0.00023400,52.861
0.00024050,54.291
0.00024700,60.872
0.00025350,67.096
0.00026000,69.191
0.00026650,73.272
0.00027300,56.772
0.00027950,31.250
0.00028600,51.858
0.00029250,9.757
0.00029900,10.619
0.00030550,21.459
0.00031200,19.605
0.00031850,19.159
0.00032500,29.463
0.00033150,30.620
0.00033800,78.359
0.00034450,81.381
0.00035100,97.886
0.00035750,122.622
0.00036400,125.014
0.00037050,119.244
0.00037700,103.444
0.00038350,98.264
0.00039000,72.763
0.00039650,80.175
0.00040300,70.776
0.00040950,59.758
0.00041600,57.002
0.00042250,58.820
0.00042900,55.549
0.00043550,40.301
0.00044200,26.627
0.00044850,30.639
0.00045500,33.328
0.00046150,39.761
0.00046800,31.340
0.00047450,24.068
0.00048100,31.100
0.00048750,37.427
0.00049400,19.363
0.00050050,12.153
0.00050700,15.508
0.00051350,12.945
0.00052000,19.188
0.00052650,10.202
0.00053300,7.929
0.00053950,4.462
0.00054600,18.221
0.00055250,23.419
0.00055900,11.250
0.00056550,22.250
0.00057200,14.542
0.00057850,14.245
0.00058500,25.711
0.00059150,30.412
0.00059800,22.167
0.00060450,7.240
0.00061100,21.274
0.00061750,37.402
0.00062400,9.625
0.00063050,26.616
0.00063700,29.039
0.00064350,24.209
0.00065000,31.880
0.00065650,36.714
0.00066300,17.002
0.00066950,2.397
0.00067600,19.722
0.00068250,12.322
0.00068900,12.715
0.00069550,8.873
0.00070200,18.097
0.00070850,31.676
0.00071500,42.982
0.00072150,57.618
0.00072800,50.780
0.00073450,49.386
0.00074100,41.515
0.00074750,34.283
0.00075400,45.680
0.00076050,36.709
0.00076700,35.757
0.00077350,41.294
0.00078000,32.817
0.00078650,28.329
0.00079300,35.882
0.00079950,56.299
0.00080600,54.167
0.00081250,36.085
0.00081900,45.897
0.00082550,30.721
0.00083200,38.176
0.00083850,40.781
0.00084500,50.011
0.00085150,38.523
0.00085800,23.366
0.00086450,12.013
0.00087100,19.653
0.00087750,8.895
0.00088400,4.400
0.00089050,9.777
0.00089700,11.816
0.00090350,0.113
0.00091000,12.595
0.00091650,23.670
0.00092300,14.286
0.00092950,15.563
0.00093600,8.348
0.00094250,13.113
0.00094900,24.703
0.00095550,27.568
0.00096200,57.007
0.00096850,47.965
0.00097500,35.982
0.00098150,29.540
0.00098800,28.486
0.00099450,23.746
0.00100100,7.122
0.00100750,17.941
0.00101400,5.424
0.00102050,10.803
0.00102700,14.191
0.00103350,12.791
0.00104000,30.557
0.00104650,15.747
0.00105300,28.427
0.00105950,48.140
0.00106600,50.272
0.00107250,53.718
0.00107900,41.104
0.00108550,44.423
0.00109200,42.314
0.00109850,34.467
0.00110500,12.884
0.00111150,47.317
0.00111800,62.000
0.00112450,48.103
0.00113100,55.892
0.00113750,28.512
0.00114400,28.221
0.00115050,19.246
0.00115700,22.778
0.00116350,25.435
0.00117000,34.426
0.00117650,32.788
0.00118300,26.455
0.00118950,31.591
0.00119600,25.814
0.00120250,36.514
0.00120900,35.720
0.00121550,41.036
0.00122200,39.110
0.00122850,47.515
0.00123500,44.348
0.00124150,60.102
0.00124800,47.785
0.00125450,53.172
0.00126100,54.157
0.00126750,40.908
0.00127400,35.719
0.00128050,63.001
0.00128700,43.530
0.00129350,39.474
0.00130000,37.380
0.00130650,48.707
0.00131300,48.313
0.00131950,51.192
0.00132600,45.174
0.00133250,49.253
0.00133900,70.471
0.00134550,53.952
0.00135200,38.569
0.00135850,27.913
0.00136500,34.186
0.00137150,48.668
0.00137800,37.663
0.00138450,42.780
0.00139100,40.802
0.00139750,39.125
0.00140400,30.439
0.00141050,19.081
0.00141700,10.688
0.00142350,4.840
0.00143000,9.202
0.00143650,26.030
0.00144300,34.368
0.00144950,42.497
0.00145600,46.086
0.00146250,43.496
0.00146900,28.286
0.00147550,52.252
0.00148200,44.352
0.00148850,49.406
0.00149500,37.830
0.00150150,29.027
0.00150800,35.180
0.00151450,19.446
0.00152100,64.146
0.00152750,86.573
0.00153400,98.669
0.00154050,111.537
0.00154700,124.981
0.00155350,128.407
0.00156000,115.232
0.00156650,104.527
0.00157300,96.950
0.00157950,84.537
0.00158600,81.206
0.00159250,45.288
0.00159900,48.929
0.00160550,59.196
0.00161200,73.695
0.00161850,87.747
0.00162500,57.227
0.00163150,46.369
0.00163800,41.145
0.00164450,44.870
0.00165100,43.380
0.00165750,39.911
0.00166400,40.200
0.00167050,38.094
0.00167700,41.125
0.00168350,41.488
0.00169000,49.616
0.00169650,62.819
0.00170300,83.249
0.00170950,98.946
0.00171600,87.954
0.00172250,107.616
0.00172900,98.101
0.00173550,81.728
0.00174200,70.458
0.00174850,42.300
0.00175500,38.814
0.00176150,67.537
0.00176800,69.244
0.00177450,75.482
0.00178100,96.895
0.00178750,95.420
0.00179400,100.600
0.00180050,93.562
0.00180700,122.175
0.00181350,92.442
0.00182000,97.946
0.00182650,86.189
0.00183300,58.223
0.00183950,53.167
0.00184600,57.146
0.00185250,68.426
0.00185900,105.660
0.00186550,122.504
0.00187200,139.322
0.00187850,138.278
0.00188500,105.458
0.00189150,80.580
0.00189800,75.153
0.00190450,50.441
0.00191100,69.318
0.00191750,58.151
0.00192400,57.891
0.00193050,87.974
0.00193700,90.635
0.00194350,100.170
0.00195000,98.123
0.00195650,136.844
0.00196300,111.807
0.00196950,94.922
0.00197600,84.538
0.00198250,73.467
0.00198900,62.133
0.00199550,74.073
0.00200200,75.309
0.00200850,72.766
0.00201500,78.597
0.00202150,81.478
0.00202800,59.784
0.00203450,49.781
0.00204100,42.428
0.00204750,54.292
0.00205400,58.104
0.00206050,62.183
0.00206700,80.868
0.00207350,81.254
0.00208000,76.789
0.00208650,83.862
0.00209300,87.926
0.00209950,58.104
0.00210600,36.346
0.00211250,40.438
0.00211900,38.138
0.00212550,51.267
0.00213200,50.502
0.00213850,55.486
0.00214500,66.185
0.00215150,64.637
0.00215800,64.592
0.00216450,76.871
0.00217100,101.010
0.00217750,84.516
0.00218400,74.804
0.00219050,58.629
0.00219700,33.959
0.00220350,26.606
0.00221000,16.818
0.00221650,8.427
0.00222300,10.715
0.00222950,7.824
0.00223600,1.000
