Distance_(microns),Gray_Value
0.0000,0.0000
0.0650,4.2452
0.1300,7.4000
0.1950,11.5717
0.2600,8.2978
0.3250,6.3453
0.3900,8.1056
0.4550,7.1111
0.5200,4.1255
0.5850,5.2888
0.6500,15.4704
0.7150,10.1109
0.7800,4.4109
0.8450,13.7708
0.9100,9.7875
0.9750,7.1599
1.0400,3.4660
1.1050,3.4678
1.1700,1.6233
1.2350,1.3386
1.3000,1.4838
1.3650,8.1129
1.4300,4.4706
1.4950,9.2887
1.5600,16.5166
1.6250,9.0228
1.6900,3.2635
1.7550,5.7106
1.8200,6.0000
1.8850,5.0676
1.9500,7.0354
2.0150,7.0587
2.0800,5.8621
2.1450,6.9497
2.2100,6.9170
2.2750,8.4249
2.3400,5.7984
2.4050,3.2136
2.4700,5.1138
2.5350,2.5606
2.6000,3.2357
2.6650,9.0782
2.7300,3.3665
2.7950,1.6127
2.8600,1.7491
2.9250,2.1233
2.9900,6.8079
3.0550,2.4118
3.1200,2.5165
3.1850,3.9871
3.2500,4.8401
3.3150,3.8363
3.3800,2.5271
3.4450,4.8405
3.5100,6.7983
3.5750,2.1456
3.6400,1.6527
3.7050,3.4578
3.7700,3.7130
3.8350,0.8898
3.9000,0.5408
3.9650,0.2742
4.0300,3.2278
4.0950,3.6582
4.1600,2.7191
4.2250,6.2361
4.2900,6.9140
4.3550,4.3893
4.4200,5.9238
4.4850,5.5179
4.5500,4.1999
4.6150,1.4157
4.6800,2.3274
4.7450,4.4602
4.8100,3.0529
4.8750,1.1486
4.9400,2.5519
5.0050,2.5255
5.0700,3.1028
5.1350,7.3402
5.2000,9.3270
5.2650,7.5832
5.3300,4.6237
5.3950,4.1238
5.4600,4.5246
5.5250,4.7338
5.5900,4.7931
5.6550,5.6938
5.7200,3.8445
5.7850,4.2472
5.8500,5.4378
5.9150,6.1526
5.9800,8.4059
6.0450,4.3025
6.1100,1.8670
6.1750,2.3265
6.2400,4.9114
6.3050,4.7274
6.3700,3.9314
6.4350,6.4414
6.5000,5.1329
6.5650,1.9582
6.6300,1.9163
6.6950,4.0923
6.7600,5.1947
6.8250,3.8601
6.8900,2.0861
6.9550,5.4572
7.0200,6.2561
7.0850,9.3343
7.1500,9.7614
7.2150,5.1221
7.2800,5.1090
7.3450,2.8360
7.4100,3.9077
7.4750,10.4376
7.5400,8.0904
7.6050,4.0053
7.6700,5.8130
7.7350,4.3647
7.8000,1.3272
7.8650,1.0625
7.9300,3.8831
7.9950,3.3342
8.0600,3.5516
8.1250,5.7721
8.1900,1.7231
8.2550,2.9374
8.3200,8.0587
8.3850,7.2868
8.4500,4.8521
8.5150,5.5179
8.5800,6.6295
8.6450,6.3749
8.7100,4.6964
8.7750,5.8804
8.8400,6.2654
8.9050,3.7402
8.9700,3.7957
9.0350,3.7221
9.1000,7.7224
9.1650,8.6843
9.2300,6.8569
9.2950,6.8670
9.3600,7.6930
9.4250,6.2470
9.4900,0.5552
9.5550,2.6673
9.6200,5.6176
9.6850,2.6774
9.7500,3.1817
9.8150,4.4875
9.8800,4.2981
9.9450,5.7259
10.0100,5.3298
10.0750,3.0756
10.1400,2.9497
10.2050,4.5448
10.2700,3.5350
10.3350,6.2125
10.4000,1.7442
10.4650,7.1667
10.5300,8.2408
10.5950,2.7480
10.6600,3.3280
10.7250,5.0373
10.7900,5.3239
10.8550,5.4681
10.9200,4.0578
10.9850,3.0158
11.0500,2.2609
11.1150,6.3340
11.1800,2.7979
11.2450,6.1861
11.3100,9.1715
11.3750,4.0618
11.4400,2.6577
11.5050,3.1850
11.5700,7.0902
11.6350,5.8285
11.7000,7.6662
11.7650,3.6984
11.8300,3.1323
11.8950,8.0939
11.9600,4.9687
12.0250,5.4812
12.0900,7.0965
12.1550,6.5230
12.2200,5.3519
12.2850,6.5399
12.3500,4.7628
12.4150,4.7967
12.4800,3.9949
12.5450,1.2574
12.6100,3.0187
12.6750,3.5309
12.7400,6.8141
12.8050,6.4639
12.8700,6.6029
12.9350,7.5635
13.0000,4.0962
13.0650,5.0745
13.1300,1.6329
13.1950,2.1007
13.2600,10.5722
13.3250,11.1383
13.3900,4.4844
13.4550,8.7330
13.5200,4.8874
13.5850,5.5335
13.6500,3.9761
13.7150,8.7649
13.7800,7.3943
13.8450,3.7320
13.9100,8.5863
13.9750,5.3561
14.0400,4.1714
14.1050,5.8452
14.1700,0.6605
14.2350,6.9153
14.3000,4.5316
14.3650,2.0235
14.4300,9.2807
14.4950,8.5000
14.5600,7.1836
14.6250,0.3881
14.6900,2.2594
14.7550,7.9991
14.8200,0.3775
14.8850,7.6661
14.9500,11.3139
15.0150,4.6381
15.0800,3.8636
15.1450,0.7546
15.2100,4.9291
15.2750,4.4377
15.3400,4.3473
15.4050,2.1429
15.4700,12.1388
15.5350,5.7896
15.6000,5.9382
15.6650,10.7615
15.7300,7.7465
15.7950,8.1555
15.8600,7.1584
15.9250,2.2184
15.9900,0.6694
16.0550,10.4088
16.1200,5.1369
16.1850,3.7058
16.2500,4.9542
16.3150,6.7003
16.3800,6.1300
16.4450,2.6448
16.5100,5.1566
16.5750,8.9903
16.6400,3.6425
16.7050,8.6705
16.7700,7.1785
16.8350,6.7435
16.9000,2.5650
16.9650,8.6066
17.0300,2.4149
17.0950,2.4765
17.1600,0.6436
17.2250,3.3117
17.2900,8.2458
17.3550,4.0419
17.4200,4.9789
17.4850,3.5915
17.5500,7.6157
17.6150,7.3341
17.6800,1.4297
17.7450,4.9522
17.8100,1.4310
17.8750,7.7843
17.9400,13.1577
18.0050,7.8014
18.0700,5.3152
18.1350,4.6619
18.2000,1.5228
18.2650,2.5791
18.3300,1.7692
18.3950,12.4574
18.4600,7.4620
18.5250,7.7315
18.5900,7.8489
18.6550,8.5912
18.7200,4.7258
18.7850,2.7887
18.8500,4.2777
18.9150,2.2153
18.9800,2.0799
19.0450,5.8639
19.1100,5.2607
19.1750,2.9494
19.2400,3.9781
19.3050,1.8149
19.3700,0.4860
19.4350,5.1078
19.5000,3.5016
19.5650,1.3092
19.6300,1.6323
19.6950,7.4816
19.7600,9.3644
19.8250,5.2556
19.8900,7.1417
19.9550,6.7647
20.0200,7.1542
20.0850,6.6952
20.1500,5.3954
20.2150,4.4156
20.2800,4.4830
20.3450,2.3099
20.4100,0.6945
20.4750,0.7225
20.5400,3.8986
20.6050,6.1823
20.6700,6.4295
20.7350,3.9181
20.8000,1.9875
20.8650,4.0558
20.9300,2.7341
20.9950,5.7092
21.0600,4.8422
21.1250,2.7315
21.1900,3.7994
21.2550,3.9318
21.3200,3.7975
21.3850,4.2364
21.4500,7.7283
21.5150,7.8332
21.5800,2.5709
21.6450,3.1864
21.7100,4.5247
21.7750,3.9976
21.8400,4.3530
21.9050,2.8360
21.9700,4.8709
22.0350,6.8879
22.1000,3.2917
22.1650,4.9106
22.2300,6.3165
22.2950,6.2923
22.3600,5.9121
22.4250,3.8981
22.4900,3.9460
22.5550,1.2070
22.6200,4.5768
22.6850,7.4495
22.7500,6.3579
22.8150,7.1072
22.8800,8.6383
22.9450,7.6449
23.0100,0.5549
23.0750,0.5667
23.1400,1.7555
23.2050,2.3510
23.2700,1.1166
23.3350,4.9445
23.4000,5.4603
23.4650,4.4044
23.5300,6.2599
23.5950,6.7941
23.6600,5.5021
