Distance_(microns),Gray_Value
0.0000,2.000
0.0650,7.663
0.1300,8.242
0.1950,0.126
0.2600,1.000
0.3250,1.895
0.3900,5.737
0.4550,7.758
0.5200,5.305
0.5850,3.516
0.6500,3.684
0.7150,9.147
0.7800,2.989
0.8450,7.021
0.9100,9.000
0.9750,6.947
1.0400,4.716
1.1050,10.000
1.1700,9.063
1.2350,13.800
1.3000,10.158
1.3650,13.189
1.4300,8.516
1.4950,7.032
1.5600,4.011
1.6250,6.000
1.6900,6.905
1.7550,7.863
1.8200,7.253
1.8850,6.105
1.9500,8.947
2.0150,1.916
2.0800,8.263
2.1450,5.663
2.2100,6.316
2.2750,6.579
2.3400,2.453
2.4050,2.232
2.4700,1.200
2.5350,8.284
2.6000,7.421
2.6650,5.095
2.7300,9.705
2.7950,5.189
2.8600,1.853
2.9250,1.789
2.9900,15.053
3.0550,7.000
3.1200,5.021
3.1850,16.684
3.2500,11.526
3.3150,43.442
3.3800,48.379
3.4450,70.053
3.5100,78.242
3.5750,66.316
3.6400,51.737
3.7050,48.200
3.7700,33.695
3.8350,11.832
3.9000,4.000
3.9650,8.589
4.0300,13.779
4.0950,9.958
4.1600,15.916
4.2250,19.053
4.2900,50.000
4.3550,75.947
4.4200,85.168
4.4850,107.074
4.5500,78.947
4.6150,47.811
4.6800,29.937
4.7450,26.442
4.8100,8.768
4.8750,12.947
4.9400,7.800
5.0050,13.642
5.0700,10.000
5.1350,23.368
5.2000,35.737
5.2650,37.789
5.3300,54.232
5.3950,87.484
5.4600,86.021
5.5250,105.316
5.5900,97.063
5.6550,65.000
5.7200,32.368
5.7850,22.989
5.8500,10.579
5.9150,1.000
5.9800,5.126
6.0450,4.579
6.1100,2.421
6.1750,13.000
6.2400,3.674
6.3050,16.832
6.3700,14.884
6.4350,20.495
6.5000,15.789
6.5650,14.737
6.6300,27.632
6.6950,35.326
6.7600,38.032
6.8250,38.158
6.8900,36.537
6.9550,39.989
7.0200,27.505
7.0850,52.516
7.1500,67.316
7.2150,91.463
7.2800,97.232
7.3450,61.874
7.4100,30.000
7.4750,22.211
7.5400,22.147
7.6050,14.632
7.6700,27.684
7.7350,34.042
7.8000,43.421
7.8650,53.758
7.9300,38.326
7.9950,33.505
8.0600,18.663
8.1250,17.895
8.1900,4.305
8.2550,7.832
8.3200,19.674
8.3850,27.000
8.4500,15.368
8.5150,13.579
8.5800,13.558
8.6450,18.400
8.7100,10.284
8.7750,17.421
8.8400,10.358
8.9050,5.463
8.9700,5.000
9.0350,10.674
9.1000,8.000
9.1650,1.937
9.2300,13.063
9.2950,10.274
9.3600,9.568
9.4250,8.053
9.4900,9.558
9.5550,18.621
9.6200,10.926
9.6850,8.368
9.7500,19.684
9.8150,26.937
9.8800,34.200
9.9450,36.589
10.0100,43.874
10.0750,51.737
10.1400,41.642
10.2050,32.379
10.2700,48.000
10.3350,43.726
10.4000,44.579
10.4650,47.021
10.5300,38.821
10.5950,38.042
10.6600,38.905
10.7250,48.684
10.7900,29.947
10.8550,26.411
10.9200,29.411
10.9850,27.116
11.0500,37.684
11.1150,45.000
11.1800,82.316
11.2450,89.074
11.3100,92.316
11.3750,71.579
11.4400,58.158
11.5050,28.526
11.5700,19.389
11.6350,18.705
11.7000,7.053
11.7650,9.863
11.8300,15.411
11.8950,17.947
11.9600,6.989
12.0250,22.632
12.0900,28.989
12.1550,34.737
12.2200,43.737
12.2850,47.863
12.3500,51.000
12.4150,30.895
12.4800,32.000
12.5450,16.000
12.6100,13.811
12.6750,10.895
12.7400,11.726
12.8050,10.526
12.8700,11.021
12.9350,16.937
13.0000,22.737
13.0650,31.884
13.1300,32.095
13.1950,46.716
13.2600,55.253
13.3250,50.579
13.3900,38.653
13.4550,20.695
13.5200,21.032
13.5850,9.800
13.6500,8.526
13.7150,15.147
13.7800,9.074
13.8450,16.874
13.9100,22.832
13.9750,13.000
14.0400,16.053
14.1050,6.779
14.1700,12.611
14.2350,12.074
14.3000,19.789
14.3650,8.832
14.4300,11.821
14.4950,5.947
14.5600,4.432
14.6250,9.316
14.6900,7.516
14.7550,2.211
14.8200,10.800
14.8850,11.716
14.9500,8.211
15.0150,12.263
15.0800,16.695
15.1450,15.053
15.2100,7.705
15.2750,16.632
15.3400,2.568
15.4050,18.042
15.4700,18.937
15.5350,31.358
15.6000,20.632
15.6650,12.558
15.7300,3.032
15.7950,20.147
15.8600,20.632
15.9250,22.211
15.9900,41.000
16.0550,47.200
16.1200,29.421
16.1850,27.453
16.2500,28.000
16.3150,23.316
16.3800,35.621
16.4450,75.295
16.5100,83.526
16.5750,72.158
16.6400,36.526
16.7050,29.074
16.7700,16.326
16.8350,5.853
16.9000,20.684
16.9650,11.000
17.0300,15.747
17.0950,18.442
17.1600,26.768
17.2250,24.211
17.2900,33.800
17.3550,59.547
17.4200,69.895
17.4850,78.495
17.5500,55.474
17.6150,33.926
17.6800,23.811
17.7450,14.484
17.8100,9.853
17.8750,2.842
17.9400,2.895
18.0050,8.326
18.0700,5.884
18.1350,4.495
18.2000,11.684
18.2650,8.832
18.3300,9.000
18.3950,21.495
18.4600,5.747
18.5250,9.000
