Distance_(microns),Gray_Value
0.0000,3.0000
0.0650,7.3160
0.1300,4.8158
0.1950,4.4599
0.2600,5.9430
0.3250,4.6736
0.3900,5.4744
0.4550,5.8963
0.5200,4.2743
0.5850,6.6464
0.6500,3.8529
0.7150,3.2635
0.7800,3.5636
0.8450,5.1747
0.9100,7.8615
0.9750,6.2678
1.0400,6.1304
1.1050,5.8542
1.1700,7.5767
1.2350,5.4719
1.3000,6.0733
1.3650,9.6295
1.4300,4.9787
1.4950,4.1376
1.5600,9.6908
1.6250,4.1809
1.6900,3.0000
1.7550,3.7340
1.8200,2.7429
1.8850,2.1421
1.9500,5.0575
2.0150,1.2010
2.0800,5.3436
2.1450,9.1127
2.2100,2.1182
2.2750,2.1978
2.3400,4.1856
2.4050,7.4117
2.4700,2.8972
2.5350,4.5561
2.6000,3.2712
2.6650,3.7909
2.7300,1.1489
2.7950,3.3689
2.8600,4.0851
2.9250,2.5052
2.9900,4.8483
3.0550,4.5000
3.1200,4.2155
3.1850,2.9378
3.2500,7.8742
3.3150,6.4337
3.3800,7.6627
3.4450,2.6809
3.5100,1.8325
3.5750,6.2424
3.6400,7.8805
3.7050,0.1682
3.7700,7.6161
3.8350,5.5489
3.9000,3.3191
3.9650,2.5032
4.0300,5.6881
4.0950,5.5969
4.1600,5.4595
4.2250,5.0951
4.2900,5.9321
4.3550,9.7028
4.4200,6.1720
4.4850,2.1942
4.5500,1.8764
4.6150,2.3622
4.6800,4.6043
4.7450,5.6458
4.8100,8.4993
4.8750,5.0260
4.9400,3.4713
5.0050,10.4767
5.0700,4.3622
5.1350,3.8705
5.2000,0.6211
5.2650,10.0355
5.3300,7.1838
5.3950,6.6528
5.4600,4.0978
5.5250,3.8581
5.5900,5.3825
5.6550,15.1492
5.7200,9.2381
5.7850,6.4328
5.8500,0.6804
5.9150,1.2644
5.9800,4.5957
6.0450,8.5167
6.1100,5.0000
6.1750,6.6347
6.2400,5.0973
6.3050,3.3685
6.3700,3.1326
6.4350,4.1342
6.5000,4.2589
6.5650,1.4529
6.6300,6.0140
6.6950,9.4667
6.7600,10.7555
6.8250,11.7510
6.8900,6.0693
6.9550,1.0532
7.0200,4.5957
7.0850,9.0392
7.1500,7.2838
7.2150,6.4604
7.2800,5.9362
7.3450,7.8852
7.4100,1.5545
7.4750,4.3893
7.5400,5.4617
7.6050,3.5690
7.6700,2.9312
7.7350,6.4296
7.8000,4.8787
7.8650,4.6915
7.9300,2.5641
7.9950,6.3314
8.0600,9.9384
8.1250,6.6315
8.1900,9.2811
8.2550,4.3305
8.3200,8.2816
8.3850,12.8139
8.4500,13.7537
8.5150,8.2501
8.5800,8.0095
8.6450,8.1376
8.7100,2.9049
8.7750,4.5199
8.8400,5.7859
8.9050,3.8583
8.9700,5.1498
9.0350,1.4966
9.1000,2.0851
9.1650,5.0000
9.2300,5.1467
9.2950,6.9715
9.3600,4.4174
9.4250,1.9599
9.4900,1.7560
9.5550,4.9498
9.6200,4.1358
9.6850,5.7211
9.7500,7.2589
9.8150,10.6062
9.8800,5.3739
9.9450,1.4719
10.0100,0.5876
10.0750,3.0353
10.1400,5.0910
10.2050,2.8264
10.2700,6.2395
10.3350,5.9690
10.4000,11.2390
10.4650,4.7057
10.5300,1.5301
10.5950,5.3640
10.6600,3.9312
10.7250,3.1498
10.7900,2.6550
10.8550,3.0928
10.9200,10.1521
10.9850,9.5462
11.0500,9.5532
11.1150,6.5831
11.1800,2.8678
11.2450,2.9939
11.3100,5.7116
11.3750,5.3205
11.4400,4.2965
11.5050,5.6277
11.5700,6.2979
11.6350,3.9574
11.7000,4.5283
11.7650,3.5052
11.8300,4.3065
11.8950,4.4242
11.9600,5.0711
12.0250,5.8019
12.0900,5.3798
12.1550,6.7544
12.2200,5.411E-11
12.2850,6.1055
12.3500,6.0303
12.4150,5.6981
12.4800,2.9289
12.5450,3.9242
12.6100,5.1553
12.6750,7.0240
12.7400,6.0679
12.8050,4.2838
12.8700,8.2580
12.9350,1.7888
13.0000,0.3803
13.0650,0.5319
13.1300,1.9574
13.1950,2.0758
13.2600,1.7655
