Distance_(microns),Gray_Value
0.0000,33.000
0.0650,38.465
0.1300,55.988
0.1950,72.655
0.2600,50.871
0.3250,31.210
0.3900,12.221
0.4550,17.673
0.5200,21.966
0.5850,30.251
0.6500,69.364
0.7150,109.542
0.7800,167.682
0.8450,172.959
0.9100,150.722
0.9750,122.824
1.0400,100.011
1.1050,64.753
1.1700,53.485
1.2350,61.860
1.3000,90.240
1.3650,130.588
1.4300,148.310
1.4950,121.794
1.5600,82.856
1.6250,46.945
1.6900,31.723
1.7550,22.567
1.8200,9.624
1.8850,10.054
1.9500,14.041
2.0150,14.700
2.0800,22.238
2.1450,18.018
2.2100,24.066
2.2750,46.311
2.3400,50.229
2.4050,30.615
2.4700,20.353
2.5350,26.739
2.6000,25.231
2.6650,51.232
2.7300,95.100
2.7950,119.722
2.8600,168.867
2.9250,184.007
2.9900,189.045
3.0550,151.222
3.1200,121.217
3.1850,76.745
3.2500,72.211
3.3150,59.118
3.3800,71.578
3.4450,72.073
3.5100,69.317
3.5750,64.254
3.6400,46.759
3.7050,33.632
3.7700,45.466
3.8350,43.000
3.9000,56.720
3.9650,43.155
4.0300,48.119
4.0950,36.301
4.1600,38.837
4.2250,13.319
4.2900,30.420
4.3550,30.031
4.4200,31.712
4.4850,38.203
4.5500,60.335
4.6150,113.849
4.6800,146.398
4.7450,206.174
4.8100,200.452
4.8750,151.060
4.9400,110.415
5.0050,83.027
5.0700,77.157
5.1350,88.096
5.2000,85.465
5.2650,86.268
5.3300,79.219
5.3950,74.837
5.4600,52.945
5.5250,36.795
5.5900,41.634
5.6550,54.101
5.7200,101.891
5.7850,184.796
5.8500,266.353
5.9150,314.475
5.9800,298.065
6.0450,255.926
6.1100,250.887
6.1750,255.969
6.2400,214.138
6.3050,185.889
6.3700,131.651
6.4350,78.113
6.5000,57.466
6.5650,67.262
6.6300,81.386
6.6950,93.818
6.7600,76.924
6.8250,52.113
6.8900,35.344
6.9550,9.371
7.0200,28.797
7.0850,43.100
7.1500,73.134
7.2150,103.891
7.2800,114.182
7.3450,102.333
7.4100,87.719
7.4750,89.377
7.5400,99.711
7.6050,119.441
7.6700,122.000
7.7350,96.723
7.8000,111.861
7.8650,105.382
7.9300,64.633
7.9950,59.447
8.0600,54.200
8.1250,47.747
8.1900,37.730
8.2550,32.516
8.3200,30.484
8.3850,24.692
8.4500,30.852
8.5150,22.199
8.5800,18.881
8.6450,27.105
8.7100,40.047
8.7750,54.735
8.8400,63.490
8.9050,76.415
8.9700,79.319
9.0350,90.799
9.1000,104.490
9.1650,75.726
9.2300,46.969
9.2950,39.784
9.3600,55.323
9.4250,60.845
9.4900,62.484
9.5550,74.229
9.6200,73.864
9.6850,75.699
9.7500,79.924
9.8150,65.475
9.8800,72.503
9.9450,74.223
10.0100,52.644
10.0750,46.668
10.1400,42.518
10.2050,20.234
10.2700,16.963
10.3350,34.283
10.4000,72.204
10.4650,106.237
10.5300,138.690
10.5950,129.384
10.6600,102.616
10.7250,67.224
10.7900,38.377
10.8550,10.479
10.9200,13.342
10.9850,6.819
11.0500,18.831
11.1150,18.624
11.1800,16.368
11.2450,26.070
11.3100,57.286
11.3750,91.684
11.4400,110.749
11.5050,97.000
11.5700,73.551
11.6350,51.525
11.7000,27.988
11.7650,15.507
11.8300,13.390
11.8950,10.932
11.9600,3.653
12.0250,1.808
12.0900,3.398
12.1550,11.013
12.2200,11.771
12.2850,37.630
12.3500,60.663
12.4150,64.542
12.4800,95.624
12.5450,104.084
12.6100,125.257
12.6750,155.007
12.7400,171.087
12.8050,168.343
12.8700,137.876
12.9350,90.118
13.0000,71.080
13.0650,74.025
13.1300,109.973
13.1950,184.064
13.2600,253.255
13.3250,271.255
13.3900,250.749
13.4550,229.861
13.5200,229.477
13.5850,219.570
13.6500,198.243
13.7150,161.102
13.7800,102.677
13.8450,56.957
13.9100,37.512
13.9750,15.980
14.0400,9.256
14.1050,19.407
14.1700,10.427
14.2350,3.566
14.3000,11.051
14.3650,21.080
14.4300,35.391
14.4950,49.243
14.5600,89.451
14.6250,124.462
14.6900,138.380
14.7550,157.369
14.8200,150.934
14.8850,136.914
14.9500,89.300
15.0150,76.171
15.0800,71.458
15.1450,98.914
15.2100,97.887
15.2750,118.772
15.3400,104.000
15.4050,55.156
15.4700,32.979
15.5350,24.902
15.6000,11.782
15.6650,2.546
15.7300,1.291
15.7950,6.335
15.8600,13.863
15.9250,26.997
15.9900,55.706
16.0550,72.693
16.1200,72.200
16.1850,70.999
16.2500,51.561
16.3150,36.579
16.3800,40.441
16.4450,37.028
16.5100,33.219
16.5750,17.942
16.6400,9.894
16.7050,6.233
16.7700,3.773
16.8350,5.932
16.9000,17.140
16.9650,25.215
17.0300,22.466
17.0950,22.768
17.1600,21.317
17.2250,17.292
17.2900,18.983
17.3550,14.758
17.4200,5.920
