Distance_(pixels),Gray_Value
0.00000000,13.000
0.00000650,10.208
0.00001300,11.141
0.00001950,5.633
0.00002600,6.742
0.00003250,5.772
0.00003900,24.469
0.00004550,27.760
0.00005200,10.219
0.00005850,18.092
0.00006500,26.647
0.00007150,16.519
0.00007800,9.138
0.00008450,19.199
0.00009100,18.724
0.00009750,29.403
0.00010400,20.570
0.00011050,16.600
0.00011700,21.640
0.00012350,22.515
0.00013000,13.671
0.00013650,11.477
0.00014300,9.296
0.00014950,2.167
0.00015600,3.221
0.00016250,6.322
0.00016900,7.426
0.00017550,7.842
0.00018200,12.908
0.00018850,13.540
0.00019500,12.352
0.00020150,13.619
0.00020800,10.649
0.00021450,17.483
0.00022100,17.927
0.00022750,13.147
0.00023400,12.160
0.00024050,15.234
0.00024700,20.746
0.00025350,18.565
0.00026000,15.947
0.00026650,10.286
0.00027300,10.943
0.00027950,10.112
0.00028600,4.697
0.00029250,13.414
0.00029900,11.533
0.00030550,13.496
0.00031200,2.975
0.00031850,7.285
0.00032500,14.991
0.00033150,12.214
0.00033800,11.664
0.00034450,4.136
0.00035100,3.684
0.00035750,5.795
0.00036400,2.837
0.00037050,3.070
0.00037700,10.353
0.00038350,11.662
0.00039000,7.031
0.00039650,8.093
0.00040300,7.448
0.00040950,5.107
0.00041600,9.266
0.00042250,10.977
0.00042900,5.822
0.00043550,6.615
0.00044200,6.731
0.00044850,7.032
0.00045500,5.678
0.00046150,3.448
0.00046800,6.370
0.00047450,20.711
0.00048100,43.557
0.00048750,77.085
0.00049400,110.131
0.00050050,98.537
0.00050700,73.152
0.00051350,49.551
0.00052000,24.041
0.00052650,5.875
0.00053300,5.676
0.00053950,4.742
0.00054600,4.833
0.00055250,7.865
0.00055900,8.606
0.00056550,6.448
0.00057200,6.717
0.00057850,13.862
0.00058500,14.549
0.00059150,16.055
0.00059800,25.529
0.00060450,28.385
0.00061100,21.370
0.00061750,24.749
0.00062400,22.437
0.00063050,16.091
0.00063700,19.985
0.00064350,15.954
0.00065000,21.790
0.00065650,23.561
0.00066300,30.132
0.00066950,39.642
0.00067600,42.445
0.00068250,47.847
0.00068900,46.552
0.00069550,39.142
0.00070200,41.801
0.00070850,39.451
0.00071500,31.510
0.00072150,36.053
0.00072800,37.371
0.00073450,43.520
0.00074100,38.824
0.00074750,21.626
0.00075400,26.494
0.00076050,11.764
0.00076700,5.798
0.00077350,7.804
0.00078000,8.440
0.00078650,2.263
0.00079300,4.553
0.00079950,4.678
0.00080600,7.707
0.00081250,4.563
0.00081900,0.138
0.00082550,1.325
0.00083200,8.667
0.00083850,4.785
0.00084500,2.400
0.00085150,13.323
0.00085800,1.597
0.00086450,12.799
0.00087100,11.601
0.00087750,11.349
0.00088400,25.040
0.00089050,23.000
0.00089700,16.493
0.00090350,16.255
0.00091000,10.823
0.00091650,3.097
0.00092300,1.067
0.00092950,1.575
0.00093600,4.089
0.00094250,14.163
0.00094900,16.390
0.00095550,21.119
0.00096200,19.661
0.00096850,25.379
0.00097500,30.286
0.00098150,29.182
0.00098800,29.503
0.00099450,25.985
0.00100100,29.244
0.00100750,16.699
0.00101400,5.673
0.00102050,9.556
0.00102700,12.721
0.00103350,14.431
0.00104000,12.748
0.00104650,7.977
0.00105300,1.343
0.00105950,0.951
0.00106600,1.232
0.00107250,2.745
0.00107900,3.012
0.00108550,8.229
0.00109200,1.059
0.00109850,7.274
0.00110500,18.622
0.00111150,15.800
0.00111800,24.861
0.00112450,24.084
0.00113100,27.512
0.00113750,20.910
0.00114400,10.399
0.00115050,12.386
0.00115700,6.190
0.00116350,3.175
0.00117000,12.308
0.00117650,14.041
0.00118300,20.273
0.00118950,24.535
0.00119600,27.969
0.00120250,25.066
0.00120900,34.631
0.00121550,23.410
0.00122200,27.300
0.00122850,25.879
0.00123500,17.237
0.00124150,19.721
0.00124800,26.266
0.00125450,25.078
0.00126100,29.703
0.00126750,32.986
0.00127400,59.415
0.00128050,85.609
0.00128700,111.933
0.00129350,140.573
0.00130000,133.331
0.00130650,102.199
0.00131300,92.117
0.00131950,85.574
0.00132600,70.514
0.00133250,68.622
0.00133900,61.592
0.00134550,66.081
0.00135200,66.851
0.00135850,51.891
0.00136500,42.238
0.00137150,33.271
0.00137800,32.525
0.00138450,34.953
0.00139100,34.860
0.00139750,40.027
0.00140400,43.487
0.00141050,30.825
0.00141700,29.310
0.00142350,35.486
0.00143000,34.956
0.00143650,38.343
0.00144300,55.431
0.00144950,70.751
0.00145600,81.910
0.00146250,89.851
0.00146900,103.074
0.00147550,98.995
0.00148200,72.082
0.00148850,77.220
0.00149500,90.023
0.00150150,107.265
0.00150800,135.673
0.00151450,162.828
0.00152100,174.230
0.00152750,126.797
0.00153400,105.508
0.00154050,76.659
0.00154700,82.146
