Distance_(pixels),Gray_Value
0.00000000,6.0000
0.00000650,0.0755
0.00001300,3.0158
0.00001950,4.4117
0.00002600,9.0531
0.00003250,12.0875
0.00003900,2.8243
0.00004550,5.0774
0.00005200,5.4453
0.00005850,3.8968
0.00006500,11.3802
0.00007150,3.9854
0.00007800,4.2182
0.00008450,4.3915
0.00009100,2.7093
0.00009750,6.4148
0.00010400,4.4311
0.00011050,2.5080
0.00011700,2.4266
0.00012350,5.7107
0.00013000,3.5818
0.00013650,9.4310
0.00014300,8.2388
0.00014950,6.9953
0.00015600,4.9924
0.00016250,3.2443
0.00016900,2.0918
0.00017550,9.1335
0.00018200,7.6676
0.00018850,6.2475
0.00019500,8.1081
0.00020150,4.7599
0.00020800,2.0935
0.00021450,5.4142
0.00022100,5.2741
0.00022750,2.8057
0.00023400,4.8689
0.00024050,6.4490
0.00024700,6.6870
0.00025350,9.5471
0.00026000,6.9787
0.00026650,7.0465
0.00027300,1.4259
0.00027950,0.6923
0.00028600,5.8873
0.00029250,7.8512
0.00029900,5.6293
0.00030550,6.9446
0.00031200,6.6057
0.00031850,4.7962
0.00032500,5.1247
0.00033150,7.2504
0.00033800,1.8281
0.00034450,2.9555
0.00035100,1.4955
0.00035750,8.5564
0.00036400,5.8115
0.00037050,7.2542
0.00037700,3.1922
0.00038350,6.6448
0.00039000,2.8961
0.00039650,5.9399
0.00040300,0.3373
0.00040950,8.9810
0.00041600,6.6969
0.00042250,4.1044
0.00042900,1.2221
0.00043550,5.7820
0.00044200,5.5715
0.00044850,4.5142
0.00045500,2.1169
0.00046150,5.3890
0.00046800,5.3402
0.00047450,4.5553
0.00048100,3.6122
0.00048750,4.5098
0.00049400,7.3420
0.00050050,9.7750
0.00050700,5.0777
0.00051350,3.0003
0.00052000,3.2123
0.00052650,7.6961
0.00053300,9.8111
0.00053950,4.0467
0.00054600,4.2622
0.00055250,3.8309
0.00055900,1.7471
0.00056550,2.1313
0.00057200,5.7855
0.00057850,6.3673
0.00058500,9.0418
0.00059150,11.9737
0.00059800,6.4656
0.00060450,3.0547
0.00061100,6.1524
0.00061750,4.7297
0.00062400,3.9544
0.00063050,3.4673
0.00063700,2.4638
0.00064350,6.4812
0.00065000,7.1360
0.00065650,7.8971
0.00066300,9.5153
0.00066950,6.1090
0.00067600,6.8923
0.00068250,4.9649
0.00068900,2.0017
0.00069550,4.4070
0.00070200,6.9653
0.00070850,7.2685
0.00071500,3.6359
0.00072150,3.6735
0.00072800,3.0044
0.00073450,1.1919
0.00074100,3.7857
0.00074750,5.0620
0.00075400,6.0185
0.00076050,4.2272
0.00076700,2.3095
0.00077350,1.6224
0.00078000,4.5339
0.00078650,5.6457
0.00079300,2.5912
0.00079950,3.6051
0.00080600,6.7147
0.00081250,4.1153
0.00081900,2.7400
0.00082550,7.3174
0.00083200,4.6706
0.00083850,5.7314
0.00084500,4.0077
0.00085150,2.9138
0.00085800,2.5921
0.00086450,5.6333
0.00087100,1.2941
0.00087750,6.2817
0.00088400,2.5422
0.00089050,6.7050
0.00089700,6.4962
0.00090350,6.2434
0.00091000,5.4828
0.00091650,3.8534
0.00092300,3.5000
0.00092950,1.5178
0.00093600,1.7401
0.00094250,4.2359
0.00094900,1.2003
0.00095550,2.5639
0.00096200,3.2449
0.00096850,6.9069
0.00097500,4.9071
0.00098150,6.0349
0.00098800,3.2476
0.00099450,5.2647
0.00100100,4.7180
0.00100750,2.5977
0.00101400,4.2662
0.00102050,6.2988
0.00102700,8.4808
0.00103350,6.8122
0.00104000,5.5040
0.00104650,5.4726
0.00105300,3.4900
0.00105950,4.4100
0.00106600,4.5934
0.00107250,4.8863
0.00107900,5.2841
0.00108550,1.4211
0.00109200,2.0029
0.00109850,1.4068
0.00110500,2.5073
0.00111150,3.7779
0.00111800,7.3900
0.00112450,5.4276
0.00113100,3.3512
0.00113750,2.1497
0.00114400,3.0397
0.00115050,6.8712
0.00115700,8.1904
0.00116350,1.4131
0.00117000,4.8206
0.00117650,1.1627
0.00118300,3.9547
0.00118950,5.0463
0.00119600,3.6551
0.00120250,7.5714
0.00120900,6.5922
0.00121550,6.5380
0.00122200,3.4811
0.00122850,0.5121
0.00123500,2.5097
0.00124150,1.3546
0.00124800,4.6738
0.00125450,2.8173
0.00126100,5.8608
0.00126750,6.0016
0.00127400,9.9971
0.00128050,3.6215
0.00128700,4.0993
0.00129350,2.1085
0.00130000,4.4229
0.00130650,1.0614
0.00131300,4.9653
0.00131950,3.7421
0.00132600,7.4910
0.00133250,6.7092
0.00133900,7.2439
0.00134550,2.2236
0.00135200,1.7520
0.00135850,7.4490
0.00136500,10.0621
0.00137150,14.7173
0.00137800,8.9117
0.00138450,5.0363
0.00139100,3.2558
0.00139750,3.6529
0.00140400,2.9800
0.00141050,3.9291
0.00141700,5.9896
0.00142350,4.1714
0.00143000,8.8154
0.00143650,10.1317
0.00144300,5.6327
0.00144950,3.7389
0.00145600,2.6786
0.00146250,3.5090
0.00146900,4.5575
0.00147550,5.5722
0.00148200,3.3196
0.00148850,3.1825
0.00149500,6.1827
0.00150150,5.5113
0.00150800,4.9968
0.00151450,4.3426
0.00152100,6.2037
0.00152750,7.0272
0.00153400,5.4728
0.00154050,3.7604
0.00154700,1.4463
0.00155350,3.2186
0.00156000,4.4662
0.00156650,3.8343
0.00157300,2.0377
0.00157950,0.1995
0.00158600,2.4046
0.00159250,5.3528
0.00159900,3.6465
0.00160550,6.1342
0.00161200,11.4930
0.00161850,5.6064
0.00162500,7.7039
0.00163150,3.0725
0.00163800,7.2257
0.00164450,13.1892
0.00165100,1.8157
0.00165750,2.3989
0.00166400,4.0513
0.00167050,6.3585
0.00167700,5.4029
0.00168350,1.228E-11
