Distance_(pixels),Gray_Value
0.00000000,6.0000
0.00000650,6.0031
0.00001300,1.6511
0.00001950,0.8707
0.00002600,3.6474
0.00003250,1.6160
0.00003900,2.9585
0.00004550,1.3904
0.00005200,7.4292
0.00005850,3.9752
0.00006500,6.3024
0.00007150,6.8563
0.00007800,8.7447
0.00008450,11.6112
0.00009100,18.7807
0.00009750,6.3728
0.00010400,15.2430
0.00011050,11.1319
0.00011700,12.6359
0.00012350,6.6521
0.00013000,14.7600
0.00013650,26.7188
0.00014300,15.3228
0.00014950,15.1430
0.00015600,17.1327
0.00016250,19.0200
0.00016900,6.7871
0.00017550,10.7268
0.00018200,11.7254
0.00018850,4.0032
0.00019500,5.8512
0.00020150,7.7159
0.00020800,8.0461
0.00021450,11.1665
0.00022100,10.9537
0.00022750,10.4424
0.00023400,16.3813
0.00024050,16.6300
0.00024700,12.2020
0.00025350,12.4916
0.00026000,7.0512
0.00026650,1.5561
0.00027300,0.3412
0.00027950,9.1780
0.00028600,6.8228
0.00029250,9.2344
0.00029900,11.8102
0.00030550,7.9576
0.00031200,10.9166
0.00031850,9.9961
0.00032500,10.7600
0.00033150,7.4536
0.00033800,1.4760
0.00034450,2.3932
0.00035100,6.2635
0.00035750,1.5136
0.00036400,6.4936
0.00037050,9.1103
0.00037700,8.3138
0.00038350,5.1214
0.00039000,6.5584
0.00039650,6.3555
0.00040300,5.2277
0.00040950,2.8286
0.00041600,4.6546
0.00042250,5.1024
0.00042900,8.0040
0.00043550,8.1131
0.00044200,10.7322
0.00044850,8.0340
0.00045500,14.1232
0.00046150,8.6700
0.00046800,2.2961
0.00047450,13.7787
0.00048100,6.5642
0.00048750,4.5000
0.00049400,4.4640
0.00050050,2.9823
0.00050700,7.1262
0.00051350,10.7080
0.00052000,10.8816
0.00052650,12.7497
0.00053300,9.3480
0.00053950,11.2790
0.00054600,10.7199
0.00055250,8.9832
0.00055900,4.6956
0.00056550,5.5595
0.00057200,5.1886
0.00057850,5.9556
0.00058500,8.3616
0.00059150,4.1865
0.00059800,1.8567
0.00060450,4.6911
0.00061100,2.4056
0.00061750,7.5120
0.00062400,5.4762
0.00063050,4.4337
0.00063700,4.6724
0.00064350,6.3287
0.00065000,7.7200
0.00065650,8.6474
0.00066300,6.3789
0.00066950,3.1364
0.00067600,9.7279
0.00068250,21.0672
0.00068900,14.8593
0.00069550,6.5744
0.00070200,12.2673
0.00070850,12.5233
0.00071500,8.3504
0.00072150,8.6550
0.00072800,14.6347
0.00073450,11.8301
0.00074100,10.1597
0.00074750,8.5168
0.00075400,7.5103
0.00076050,5.6377
0.00076700,6.0695
0.00077350,9.2174
0.00078000,8.4432
0.00078650,13.4456
0.00079300,16.1304
0.00079950,13.4606
0.00080600,13.6350
0.00081250,23.5000
0.00081900,21.2266
0.00082550,11.9945
0.00083200,8.3351
0.00083850,9.6363
0.00084500,12.6816
0.00085150,9.1561
0.00085800,11.2299
0.00086450,14.8417
0.00087100,11.0150
0.00087750,4.6752
0.00088400,6.1123
0.00089050,9.3819
0.00089700,6.4417
0.00090350,6.1993
0.00091000,5.1744
0.00091650,4.1273
0.00092300,4.1180
0.00092950,4.8948
0.00093600,4.5251
0.00094250,5.5000
0.00094900,8.9093
0.00095550,12.3596
0.00096200,12.8601
0.00096850,7.7847
0.00097500,5.1200
0.00098150,8.8217
0.00098800,4.7201
0.00099450,1.8602
0.00100100,3.5011
0.00100750,6.5032
0.00101400,7.0630
0.00102050,4.4791
0.00102700,5.6720
0.00103350,5.1562
0.00104000,7.8464
0.00104650,10.1420
0.00105300,5.3098
0.00105950,7.6640
0.00106600,10.1122
0.00107250,16.9544
0.00107900,16.0705
0.00108550,7.7566
0.00109200,5.5299
0.00109850,6.2588
0.00110500,8.5744
0.00111150,9.2776
0.00111800,13.3006
0.00112450,12.1225
0.00113100,6.5343
0.00113750,10.2600
0.00114400,4.0516
0.00115050,4.3690
0.00115700,14.4480
0.00116350,10.9215
0.00117000,6.2512
0.00117650,8.1844
0.00118300,4.8556
0.00118950,6.3520
0.00119600,6.8214
0.00120250,3.9896
0.00120900,7.8084
0.00121550,4.2847
0.00122200,0.8566
0.00122850,2.3285
0.00123500,2.3920
0.00124150,2.2176
0.00124800,4.0205
0.00125450,7.9939
0.00126100,9.9278
0.00126750,4.4608
0.00127400,5.5068
0.00128050,0.0746
0.00128700,3.1827
0.00129350,12.0807
0.00130000,6.6000
0.00130650,12.3600
0.00131300,9.9910
0.00131950,15.9297
0.00132600,18.2140
0.00133250,9.4496
0.00133900,8.7384
0.00134550,18.8403
0.00135200,9.7090
0.00135850,7.7360
0.00136500,9.8112
0.00137150,5.4836
0.00137800,10.7069
0.00138450,7.6250
0.00139100,8.6943
0.00139750,13.8176
0.00140400,8.5317
0.00141050,4.0805
0.00141700,16.1671
0.00142350,2.0454
0.00143000,12.8480
0.00143650,5.4657
0.00144300,6.8666
0.00144950,14.4233
0.00145600,12.1970
0.00146250,1.5600
0.00146900,5.0796
0.00147550,9.2358
0.00148200,11.2106
0.00148850,7.0785
0.00149500,6.3504
0.00150150,2.3622
0.00150800,11.1652
0.00151450,3.4170
0.00152100,1.8481
0.00152750,4.2632
0.00153400,2.3662
0.00154050,3.9281
0.00154700,6.7593
0.00155350,9.2455
0.00156000,8.9952
0.00156650,4.4995
0.00157300,10.4343
0.00157950,13.7692
0.00158600,15.3185
0.00159250,9.3088
0.00159900,2.3704
0.00160550,5.6274
0.00161200,9.6535
0.00161850,4.1916
0.00162500,4.0000
