,file_name,total_RNAs
0,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_0.npz,27
1,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_1.npz,206
2,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_2.npz,901
3,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_3.npz,41
4,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_4.npz,8
5,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_5.npz,21
6,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_6.npz,1364
7,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_7.npz,34
8,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_8.npz,0
9,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_9.npz,162
10,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_10.npz,234
11,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_11.npz,107
12,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_12.npz,2
13,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_13.npz,5
14,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_14.npz,1
15,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_15.npz,6
16,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_16.npz,7
17,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_17.npz,22
18,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_18.npz,40
19,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_19.npz,1517
20,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_20.npz,582
21,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_21.npz,500
22,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_22.npz,380
23,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_23.npz,17
24,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_24.npz,19
25,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_25.npz,627
26,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_26.npz,788
27,20221123_221123_smFISH_72hpi_WT_HIV_001_results_results_cell_27.npz,99
28,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_0.npz,3679
29,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_1.npz,6376
30,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_2.npz,4268
31,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_3.npz,3164
32,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_4.npz,3380
33,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_5.npz,2752
34,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_6.npz,840
35,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_7.npz,2641
36,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_8.npz,1984
37,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_9.npz,686
38,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_10.npz,2019
39,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_11.npz,77
40,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_12.npz,614
41,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_13.npz,38
42,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_14.npz,36
43,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_15.npz,302
44,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_16.npz,827
45,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_17.npz,461
46,20221123_221123_smFISH_72hpi_MKRN1KO_HIV_009_results_results_cell_18.npz,223
