,file_name,total_RNAs
0,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_0.npz,6973
1,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_1.npz,4316
2,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_2.npz,1101
3,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_3.npz,2196
4,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_4.npz,2679
5,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_5.npz,3576
6,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_6.npz,6578
7,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_7.npz,1207
8,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_8.npz,4087
9,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_9.npz,2
10,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_10.npz,5467
11,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_11.npz,4865
12,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_12.npz,5948
13,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_13.npz,7541
14,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_14.npz,4395
15,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_15.npz,3473
16,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_16.npz,5124
17,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_17.npz,1434
18,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_18.npz,924
19,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_19.npz,3393
20,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_20.npz,1476
21,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_21.npz,8
22,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_22.npz,99
23,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_23.npz,64
24,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_24.npz,38
25,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_25.npz,846
26,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_26.npz,418
27,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_27.npz,116
28,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_28.npz,50
29,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_29.npz,698
30,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_30.npz,326
31,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_31.npz,287
32,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_32.npz,31
33,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_33.npz,0
34,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_34.npz,27
35,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_35.npz,72
36,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_36.npz,11
37,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_37.npz,1
38,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_38.npz,508
39,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_39.npz,623
40,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_40.npz,145
41,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_41.npz,179
42,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_42.npz,1720
43,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_43.npz,962
44,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_44.npz,428
45,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_45.npz,111
46,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_46.npz,13
47,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_47.npz,60
48,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_48.npz,19
49,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_49.npz,37
50,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_50.npz,8
51,20221221_221221_smFISH_WT_HIV_rep3_72hpi_006_results_results_cell_51.npz,394
52,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_0.npz,6
53,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_1.npz,20
54,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_2.npz,12
55,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_3.npz,64
56,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_4.npz,9
57,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_5.npz,7
58,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_6.npz,6
59,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_7.npz,13
60,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_8.npz,0
61,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_9.npz,5
62,20221221_221221_smFISH_WT_no_virus_rep3_72hpi_013_results_results_cell_10.npz,51
