...1	file_name	total_RNAs	time	rep	condition
0	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_0.npz	37	24hpi	rep3	MKRN1KO HIV
1	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_1.npz	42	24hpi	rep3	MKRN1KO HIV
2	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_2.npz	15	24hpi	rep3	MKRN1KO HIV
3	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_3.npz	663	24hpi	rep3	MKRN1KO HIV
4	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_4.npz	1902	24hpi	rep3	MKRN1KO HIV
5	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_5.npz	63	24hpi	rep3	MKRN1KO HIV
6	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_6.npz	23	24hpi	rep3	MKRN1KO HIV
7	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_7.npz	5	24hpi	rep3	MKRN1KO HIV
8	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_8.npz	78	24hpi	rep3	MKRN1KO HIV
9	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_9.npz	10	24hpi	rep3	MKRN1KO HIV
10	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_10.npz	9	24hpi	rep3	MKRN1KO HIV
11	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_11.npz	2	24hpi	rep3	MKRN1KO HIV
12	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_12.npz	8	24hpi	rep3	MKRN1KO HIV
13	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_13.npz	54	24hpi	rep3	MKRN1KO HIV
14	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_14.npz	30	24hpi	rep3	MKRN1KO HIV
15	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_15.npz	929	24hpi	rep3	MKRN1KO HIV
16	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_16.npz	14	24hpi	rep3	MKRN1KO HIV
17	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_17.npz	252	24hpi	rep3	MKRN1KO HIV
18	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_18.npz	5	24hpi	rep3	MKRN1KO HIV
19	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_19.npz	28	24hpi	rep3	MKRN1KO HIV
20	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_20.npz	221	24hpi	rep3	MKRN1KO HIV
21	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_21.npz	2260	24hpi	rep3	MKRN1KO HIV
22	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_22.npz	451	24hpi	rep3	MKRN1KO HIV
23	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_23.npz	18	24hpi	rep3	MKRN1KO HIV
24	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_24.npz	504	24hpi	rep3	MKRN1KO HIV
25	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_25.npz	991	24hpi	rep3	MKRN1KO HIV
26	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_0.npz	157	24hpi	rep3	MKRN1KO HIV
27	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_1.npz	30	24hpi	rep3	MKRN1KO HIV
28	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_2.npz	5	24hpi	rep3	MKRN1KO HIV
29	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_3.npz	11	24hpi	rep3	MKRN1KO HIV
30	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_4.npz	1312	24hpi	rep3	MKRN1KO HIV
31	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_5.npz	207	24hpi	rep3	MKRN1KO HIV
32	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_6.npz	2022	24hpi	rep3	MKRN1KO HIV
33	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_7.npz	2130	24hpi	rep3	MKRN1KO HIV
34	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_8.npz	1014	24hpi	rep3	MKRN1KO HIV
35	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_9.npz	307	24hpi	rep3	MKRN1KO HIV
36	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_10.npz	1782	24hpi	rep3	MKRN1KO HIV
37	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_11.npz	12	24hpi	rep3	MKRN1KO HIV
38	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_12.npz	151	24hpi	rep3	MKRN1KO HIV
39	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_13.npz	194	24hpi	rep3	MKRN1KO HIV
40	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_14.npz	132	24hpi	rep3	MKRN1KO HIV
41	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_15.npz	1703	24hpi	rep3	MKRN1KO HIV
42	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_16.npz	2162	24hpi	rep3	MKRN1KO HIV
43	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_17.npz	82	24hpi	rep3	MKRN1KO HIV
44	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_18.npz	1770	24hpi	rep3	MKRN1KO HIV
45	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_19.npz	6	24hpi	rep3	MKRN1KO HIV
46	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_20.npz	215	24hpi	rep3	MKRN1KO HIV
47	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_21.npz	2890	24hpi	rep3	MKRN1KO HIV
48	20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_22.npz	320	24hpi	rep3	MKRN1KO HIV
